GASSID,nComps,Qlty,Problems,Notes
GASS11834,2,B,"C,B",Bright nearby object
GASS11892,1,G,B,Bright nearby object
GASS11825,1,O,C,
GASS11903,2,B,S,Group
GASS124028,1,O,D,Clumpy
GASS124009,1,G,"C,S",
GASS124012,1,G,"C,D",Edge on
GASS11910,2,B,C,
GASS11917,3,B,S,
GASS11956,1,G,"C,S",
GASS12030,1,G,S,
GASS12025,2,B,C,Group
GASS12044,2,B,D,Clumpy
GASS124007,2,B,"C,D",Offset bulge
GASS124000,3,B,C,
GASS124010,2,B,"S,C","Large galaxy, Clumpy, Diffuse spiral arms"
GASS12005,1,G,C,
GASS124001,3,B,"C,S",Diffuse spiral arms
GASS12002,2,B,C,
GASS124025,1,O,D,Clumpy
GASS12062,2,B,C,
GASS11994,2,O,"C,S",
GASS3163,2,B,C,
GASS124003,2,B,"C,D",Clumpy
GASS3157,2,B,"C,B",Bright nearby object
GASS3151,1,G,S,
GASS27181,2,O,C,
GASS27167,2,O,C,
GASS3189,2,B,C,
GASS27219,1,G,D,Edge on
GASS124016,3,B,"C,S",
GASS27207,2,B,C,
GASS27204,2,B,"C,B",Bright nearby object
GASS124002,1,G,C,
GASS3233,1,O,"C,D",Clumpy
GASS124027,3,B,C,Large galaxy
GASS3258,1,G,D,Edge on
GASS3261,3,O,"C,D",Clumpy
GASS3305,2,O,"C,S",
GASS3301,2,O,C,
GASS3321,2,B,C,
GASS3284,2,B,C,
GASS3398,3,B,"C,S",
GASS3435,1,G,S,
GASS3439,3,B,C,
GASS3465,2,B,C,
GASS3634,2,O,C,
GASS3645,3,B,C,
GASS3509,2,O,C,
GASS3524,2,O,B,Bright nearby object
GASS3519,3,B,"C,B",Interacting
GASS3505,1,G,-,
GASS3666,1,G,C,
GASS3504,2,B,"C,S",Embedded object
GASS3508,2,B,"C,S",Embedded object
GASS101028,3,B,D,"Clumpy, Group"
GASS101007,2,B,"C,B",Bright nearby object
GASS101004,2,B,"C,S",Embedded object
GASS3773,1,G,I,Frame
GASS3757,1,G,S,
GASS3777,3,O,C,
GASS27260,2,B,"C,I",Large galaxy
GASS3792,1,G,S,
GASS27250,2,B,"C,S",Embedded object
GASS27284,2,B,C,
GASS3851,2,O,C,
GASS3854,2,B,"C,S",Large galaxy
GASS3859,1,G,-,Interacting
GASS3821,1,O,S,
GASS4094,2,B,C,
GASS4111,3,B,C,
GASS4119,1,O,S,
GASS101030,1,O,"C,D",
GASS101000,1,G,-,
GASS101012,1,G,-,
GASS4195,1,O,S,
GASS4074,2,B,C,Large galaxy
GASS101016,1,O,B,Bright nearby object
GASS101019,1,G,-,
GASS101022,2,B,C,
GASS101011,3,O,"C,S",
GASS101017,1,G,-,
GASS101008,1,O,B,Bright nearby object
GASS101010,1,G,-,
GASS4203,3,B,C,
GASS101001,1,O,"C,S",Edge on
GASS101018,1,G,S,
GASS4165,1,G,-,
GASS4163,2,B,C,
GASS101026,3,B,"C,D",
GASS4145,2,B,"C,S,D",Bright embedded star
GASS4216,2,B,"C,D",
GASS4134,2,B,C,Edge on
GASS4137,1,G,-,
GASS4136,2,O,C,Group
GASS4233,3,O,"C,S",Embedded star
GASS4230,3,B,C,Large galaxy
GASS4223,1,G,-,
GASS3918,2,O,C,
GASS4130,2,O,"C,S",Bad pixel in PSF
GASS4132,3,B,C,
GASS3917,2,B,C,
GASS4239,3,B,"C,S",
GASS101033,2,B,"C,S",
GASS3936,3,B,"C,S,B",Bright nearby object
GASS102001,1,O,"S,B",
GASS3957,1,G,-,
GASS3960,1,O,"S,B",Bright nearby object
GASS3956,1,G,S,
GASS3962,3,B,"C,S",Diffuse spiral arms
GASS3966,1,G,-,
GASS3880,2,B,"C,S",
GASS3972,1,O,S,Embedded star
GASS3971,1,G,C,
GASS3977,2,B,C,
GASS4008,3,B,"C,S",
GASS4030,3,B,"C,S",
GASS4038,2,B,C,Edge on
GASS4039,3,O,"C,S",Diffuse spiral arms
GASS4041,2,B,C,
GASS4040,2,B,C,
GASS4048,2,B,C,
GASS3987,1,O,"C,S",
GASS4056,2,B,"C,S,D",Interacting
GASS3981,2,B,C,
GASS3985,3,B,C,
GASS3980,2,B,C,
GASS12069,2,B,"C,S",
GASS14260,2,O,"C,S",
GASS14017,2,B,"C,S","Interacting, Embedded object"
GASS21842,3,B,"C,S",Embedded object
GASS107019,2,O,C,Interacting
GASS13775,2,B,"C,D",Edge on
GASS36125,?,B,"C,S,D",Diffuse spiral arms
GASS17029,2,B,"C,D",Edge on
GASS51334,1,O,D,
GASS107005,2,B,"C,D",
GASS51276,2,B,C,
GASS107026,1,O,D,
GASS51351,2,B,"C,S,D",Embedded object
GASS51462,2,B,"C,S",
GASS51390,3,B,"C,S",Diffuse spiral arms
GASS51336,3,B,"C,S",Embedded obect
GASS56375,3,B,"C,S",Diffuse spiral arms
GASS19132,2,O,C,
GASS108143,3,B,"C,D",Group
GASS108136,3,O,"C,D",
GASS108111,2,B,"C,D","Group, Edge on"
GASS108080,2,B,"C,S",Embedded object
GASS108065,3,B,"C,S",
GASS108052,1,O,S,Group
GASS108078,2,O,"C,B",Bright nearby object
GASS108150,2,B,"C,S","Group, Embedded object"
GASS56319,2,B,"C,B",Bright nearby object
GASS108116,3,B,C,
GASS108132,2,B,C,Large galaxy
GASS108084,3,B,"C,S,D",
GASS51580,2,B,C,Edge on
GASS108119,3,B,"C,S,D",
GASS51563,3,B,C,Embedded object
GASS56312,3,B,"C,S",
